graph,wsim,wrank,exprank,expsim,lowlatency
dbpedia_500_4_sg_200,0.6,0.7,0,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.1,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.2,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.3,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.4,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.5,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.6,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.7,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.8,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,0.9,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.1,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.2,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.3,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.4,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.5,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.6,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.7,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.8,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,1.9,1,FALSE
dbpedia_500_4_sg_200,0.6,0.7,2,1,FALSE
